id_country,start_place,start_day,start_h,prec,presMax,presMin,tmax,tmed,tmin,velmedia
9,C.C. La Minilla,4,16,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
6,Torre Woermann,23,13,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
1,C.C. El Muelle,24,13,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
1,Plaza O'Shanahan,9,14,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
1,C.C. El Muelle,24,13,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
1,Vega de San José,31,20,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
11,San Bernardo,10,12,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
1,Parque Santa Catalina,9,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
1,Plaza del Pilar,21,18,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
11,Plaza de la feria,31,14,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
11,Plaza de la feria,31,14,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Parque del Estadio Insular,12,16,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
9,Teatro Pérez Galdós,22,10,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Las Canteras - Luis Morote,22,20,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
6,Torre Woermann,23,13,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
3,Las Canteras - Luis Morote,9,18,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
13,C.C. El Muelle,30,13,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Parque del Estadio Insular,5,7,0.4,1015.0,1006.1,24.2,22.0,19.9,1.4
1,Parque Santa Catalina,29,18,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
10,Plaza de la feria,27,13,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
9,San Telmo,20,16,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
18,San Telmo,27,13,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
11,Parque Santa Catalina,24,9,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
20,C.C. El Muelle,21,10,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
12,Mercado Central,21,14,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
12,Plaza de España,24,15,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
20,C.C. El Muelle,21,10,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,Plaza de España (elect.),30,13,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
16,Cabildo de Gran Canaria,16,17,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
18,Oficina Sítycleta (elect.),26,15,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
9,Oficina Sítycleta (elect.),26,15,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
6,Plaza de España (elect.),24,13,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
11,Parque Santa Catalina,6,17,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
6,Plaza de España (elect.),24,13,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
17,Aparcamiento Sanapú,2,10,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
17,Aparcamiento Sanapú,2,10,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
15,Muelle Deportivo,30,11,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
18,Plaza San Agustín,10,13,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
1,Parque del Estadio Insular,3,16,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7
14,Parque Santa Catalina,14,19,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
1,Plaza de la feria,25,13,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
1,Plazoleta de Farray,31,12,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Plazoleta de Farray,31,12,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
6,San Telmo,8,12,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6
20,C.C. El Muelle,21,10,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
26,Parque Santa Catalina,27,12,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
6,San Telmo,8,12,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6
11,Base Naval,12,19,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
2,Las Canteras - Luis Morote,27,15,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
1,Plaza de España,22,11,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,C.C. El Muelle,31,12,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Gabinete Literario,25,12,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
18,Plaza de España (elect.),30,16,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
18,Plaza de España (elect.),30,16,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Plaza O'Shanahan,14,18,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
1,Las Canteras - Luis Morote,4,11,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
10,Plaza de la feria,27,13,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
1,Plaza de España (elect.),28,15,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
14,Plaza O'Shanahan,14,18,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
2,C.C. El Muelle,19,11,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1
6,Plazoleta de Farray,25,15,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
1,Parque Santa Catalina,31,14,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Ayuntamiento,6,21,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
9,Autoridad portuaria,10,17,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
11,San Telmo,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
11,San Telmo,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
11,Las Canteras - Luis Morote,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
3,Plazoleta de Farray,20,18,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
10,Plaza de la feria,27,13,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
9,Autoridad portuaria,10,17,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
18,San Telmo,27,15,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
1,Gabinete Literario,15,20,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
9,Gabinete Literario,15,20,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
18,Plazoleta de Farray,31,20,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
12,Base Naval,24,15,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
6,Plazoleta de Farray,25,15,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
14,Plaza de la feria,31,15,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Teatro Pérez Galdós,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
9,Torre Woermann,22,18,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Aparcamiento Sanapú,1,13,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
10,Castillo de la Luz,16,8,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
1,C.C. El Muelle,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,C.C. El Muelle,11,14,0.0,1017.2,1013.9,24.6,22.6,20.6,0.6
11,Plaza del Pilar,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,San Telmo,7,16,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
1,Teatro Pérez Galdós,28,13,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,Plaza de España,18,10,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
15,Muelle Deportivo,30,17,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
7,Plazoleta de Farray,4,13,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
1,Torre Las Palmas,10,20,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
9,Teatro Pérez Galdós,15,11,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
11,Torre Las Palmas,30,11,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Plazoleta de Farray,26,16,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
9,Teatro Pérez Galdós,15,11,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
11,Torre Las Palmas,30,11,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
7,Plazoleta de Farray,3,22,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7
1,Parque Santa Catalina,31,12,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Teatro Pérez Galdós,28,13,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
18,Plazoleta de Farray,31,20,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
12,Oficina Sítycleta (elect.),1,12,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
1,Teatro Pérez Galdós,28,13,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
11,Piscina Julio Navarro,6,18,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
1,Teatro Pérez Galdós,28,13,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
12,Oficina Sítycleta (elect.),1,12,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
14,Plaza O'Shanahan,7,17,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
18,Obelisco,19,18,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1
1,Plaza O'Shanahan,7,17,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
11,Piscina Julio Navarro,6,18,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
1,C.C. El Muelle,31,12,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
5,Plaza de España,9,12,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
3,San Bernardo,9,16,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
17,Parque Santa Catalina,29,10,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
1,Aparcamiento Sanapú,1,13,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
1,C.C. El Muelle,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
18,San Telmo,31,12,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
18,San Telmo,31,12,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
13,C.C. El Muelle,30,14,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
7,Torre Woermann,15,9,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
13,Plaza Manuel Becerra,1,11,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
11,Parque Santa Catalina,25,11,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
18,Torre Woermann,13,12,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
1,C.C. El Muelle,7,17,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
11,Plaza de España (elect.),7,11,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
14,Plaza O'Shanahan,23,12,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
13,Ayuntamiento,4,18,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
9,Plazoleta de Farray,29,12,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
15,Intermodal El Rincón,30,15,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Plazoleta de Farray,25,15,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
11,C.C. El Muelle,21,15,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,Las Canteras - Luis Morote,16,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
16,León y Castillo,2,19,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
10,Las Canteras - Luis Morote,12,16,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
13,Ayuntamiento,4,18,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
1,Gabinete Literario,25,12,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
1,Gabinete Literario,30,11,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
11,Parque Santa Catalina,9,14,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
1,Las Canteras - Luis Morote,15,19,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
11,Las Canteras - Luis Morote,1,18,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
11,Plazoleta de Farray,27,15,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
12,Mercado Central,20,15,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
10,Churruca,30,22,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
10,Teatro Pérez Galdós,27,22,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
14,San Bernardo,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,Gabinete Literario,30,11,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Plaza San Agustín,18,16,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
9,Plaza San Agustín,30,11,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Churruca,28,17,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,San Telmo,28,16,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,San Telmo,31,11,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Plaza del Pilar,14,10,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
14,San Telmo,25,9,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
17,Gabinete Literario,21,16,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
19,C.C. El Muelle,18,17,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
1,Parque Santa Catalina,27,15,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
